antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'able'}),frozenset({'book'}),0.017784598718064457,0.6889049381601516,0.01363184977882098,0.766497461928934,1.1126316846791773,1.0,0.0013799518987496727,1.3322984170097851,0.1030629139072848,0.019669141591767615,0.2494174073670348,0.3931425849809786
frozenset({'absolutely'}),frozenset({'book'}),0.014083235533086576,0.6889049381601516,0.010562426649814933,0.75,1.08868431398244,1.0,0.0008604161457990752,1.2443802473593935,0.08262369135915527,0.015254237288135594,0.1963871154962276,0.38266609880749575
frozenset({'actually'}),frozenset({'book'}),0.020041527489392436,0.6889049381601516,0.014895729890764648,0.7432432432432432,1.0788763471898055,1.0,0.0010890226350497717,1.2116333987446724,0.07460491604204174,0.02146201873048907,0.17466784834747684,0.3824327866065515
frozenset({'ago'}),frozenset({'book'}),0.019499864584273722,0.6889049381601516,0.014444344136499051,0.7407407407407406,1.075243766896237,1.0,0.001010791130938632,1.199938095667986,0.07137003959119778,0.020814361909717704,0.1666236753294207,0.3808539242951508
frozenset({'ago'}),frozenset({'read'}),0.019499864584273722,0.3473864764828022,0.010381872348108693,0.5324074074074073,1.5326083294833293,1.0,0.0036078830982860625,1.3956883275219278,0.3544288899652926,0.029121296530767282,0.28350765691684204,0.2811465311465311
frozenset({'ago'}),frozenset({'years'}),0.019499864584273722,0.05497878486954952,0.01462489843820529,0.75,13.641625615763546,1.0,0.013552819578241157,3.780084860521802,0.9451247583095479,0.24434389140271492,0.7354556744363775,0.5080049261083743
frozenset({'almost'}),frozenset({'book'}),0.02256928771327977,0.6889049381601516,0.01769432156721134,0.784,1.1380380028829775,1.0,0.0021462278107756694,1.440254915925224,0.12409546805699286,0.025504229017566687,0.30567846778874075,0.40484235355785614
frozenset({'along'}),frozenset({'book'}),0.01733321296379886,0.6889049381601516,0.012006861063464836,0.6927083333333334,1.0055209288865594,1.0,6.5925058522244e-05,1.0123771503940828,0.005587464296939075,0.01729518855656697,0.012225829464113193,0.3550686208666405
frozenset({'already'}),frozenset({'book'}),0.016249887153561432,0.6889049381601516,0.013270741175408505,0.8166666666666668,1.1854562530031016,1.0,0.002076113670774824,1.6968821554900828,0.15902710538193454,0.019180584551148225,0.4106838846972339,0.4179650985017255
frozenset({'also'}),frozenset({'book'}),0.06870091179922362,0.6889049381601516,0.051096867382865396,0.7437582128777923,1.0796238663408866,1.0,0.003768469988275215,1.2140684208211514,0.07919205405990484,0.0723230258113979,0.17632319328128432,0.40896467844780715
