antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'The Lord of the Rings Trilogy: Three Volumes in Slipcase', 'The Lord of the Rings Trilogy 3 Volumes'})","frozenset({'The Lord of the Rings (3 Volume Set)', 'The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)'})",0.006606763437090878,0.00664611070174058,0.006606763437090878,1.0,150.46393972012916,1.0,0.00656285415590776,inf,0.9999603910483769,0.9940796555435953,1.0,0.9970398277717977
"frozenset({'The Lord of the Rings Trilogy: Three Volumes in Slipcase', 'The Lord of the Rings - Boxed Set', 'The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)', 'The Lord of the Rings Trilogy (The Fellowship of the Ring, The Two Towers, The Return of the King, I, II, III)'})",frozenset({'The Lord of the Rings (3 Volume Set)'}),0.006588878316795559,0.00664611070174058,0.006588878316795559,1.0,150.46393972012916,1.0,0.0065450879021018375,inf,0.9999423880167075,0.9913885898815931,1.0,0.9956942949407965
"frozenset({'The Lord of the Rings (3 Volume Set)', 'The Lord of the Rings - Boxed Set', 'The Lord of the Rings Trilogy (The Fellowship of the Ring, The Two Towers, The Return of the King, I, II, III)', 'The Lord of the Rings Trilogy: Three Volumes in Slipcase'})","frozenset({'The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)'})",0.006588878316795559,0.006649687725799644,0.006588878316795559,1.0,150.38300161377083,1.0,0.006545064333525576,inf,0.9999387872677516,0.9908552985476063,1.0,0.9954276492738031
"frozenset({'The Lord of the Rings Trilogy: Three Volumes in Slipcase', 'The Lord of the Rings - Boxed Set', 'The Lord of the Rings Trilogy (The Fellowship of the Ring, The Two Towers, The Return of the King, I, II, III)'})","frozenset({'The Lord of the Rings (3 Volume Set)', 'The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)'})",0.006588878316795559,0.00664611070174058,0.006588878316795559,1.0,150.46393972012916,1.0,0.0065450879021018375,inf,0.9999423880167075,0.9913885898815931,1.0,0.9956942949407965
"frozenset({'The Lord of the Rings - Boxed Set', 'The Lord of the Rings Trilogy 3 Volumes'})","frozenset({'The Lord Of The Rings THREE VOLUME BOXED SET (The Fellowship Of The Ring, The Return of The King, The Two towers)'})",0.006585301292736495,0.006649687725799644,0.006585301292736495,1.0,150.38300161377083,1.0,0.0065415110955594925,inf,0.9999351867521722,0.9903173749327595,1.0,0.9951586874663798
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})","frozenset({'To kill a mockingbird', 'To Kill A Mockingbird'})",0.005733969566679305,0.005737546590738369,0.005733969566679305,1.0,174.29052369077306,1.0,0.005701070649140607,inf,0.9999964023471087,0.9993765586034914,1.0,0.9996882793017456
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To kill a mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To Kill a Mocking Bird'})",frozenset({'To kill a mockingbird'}),0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})","frozenset({'To Kill a Mocking Bird', 'To kill a mockingbird'})",0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'To Kill a Mockingbird', 'To Kill A Mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
"frozenset({'To Kill a Mockingbird', 'To Kill A Mockingbird'})",frozenset({'To kill a mockingbird'}),0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit', 'The Hobbit or There and Back Again'})",frozenset({'The Hobbit There and Back Again'}),0.012537469327018694,0.012784283987094098,0.012537469327018694,1.0,78.22104085058757,1.0,0.012377186758662605,inf,0.9997500516197741,0.9806939003917178,1.0,0.990346950195859
"frozenset({'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit or There and Back Again'})","frozenset({'The Hobbit There and Back Again', 'The Hobbit'})",0.012537469327018694,0.012784283987094098,0.012537469327018694,1.0,78.22104085058757,1.0,0.012377186758662605,inf,0.9997500516197741,0.9806939003917178,1.0,0.990346950195859
"frozenset({'The Hobbit; Or, There and Back Again'})",frozenset({'The Hobbit'}),0.012190497993289503,0.012787861011153161,0.012190497993289503,1.0,78.19916083916084,1.0,0.012034607599294575,inf,0.9993952649608553,0.9532867132867132,1.0,0.9766433566433566
"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again'})",frozenset({'The Hobbit'}),0.01218692096923044,0.012787861011153161,0.01218692096923044,1.0,78.19916083916084,1.0,0.012031076317722012,inf,0.999391645995908,0.9530069930069929,1.0,0.9765034965034964
"frozenset({'To Kill a Mockingbird', 'To Kill a Mocking Bird', 'To Kill A Mockingbird'})",frozenset({'To kill a mockingbird'}),0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'To Kill a Mockingbird', 'To kill a mockingbird', 'To Kill A Mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
"frozenset({'To Kill a Mockingbird', 'To Kill A Mockingbird'})","frozenset({'To Kill a Mocking Bird', 'To kill a mockingbird'})",0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
